Code|Name|FullName|Code1|Code2|Code3|Code4|Code5|Level|LevelName
11|北京市|北京市|11|    |      |        |          |1|直辖市
1101|东城区|北京市东城区|11|1101||        |          |2|市级
1102|西城区|北京市西城区|11|1102||        |          |2|市级
1103|崇文区|北京市崇文区|11|1103||        |          |2|市级
1104|宣武区|北京市宣武区|11|1104||        |          |2|市级
1105|朝阳区|北京市朝阳区|11|1105||        |          |2|市级
1106|丰台区|北京市丰台区|11|1106||        |          |2|市级
1107|石景山区|北京市石景山区|11|1107||        |          |2|市级
1108|海淀区|北京市海淀区|11|1108||        |          |2|市级
1109|门头沟区|北京市门头沟区|11|1109||        |          |2|市级
1111|房山区|北京市房山区|11|1111||        |          |2|市级
1112|通州区|北京市通州区|11|1112||        |          |2|市级
1113|顺义区|北京市顺义区|11|1113||        |          |2|市级
1114|昌平区|北京市昌平区|11|1114||        |          |2|市级
1115|大兴区|北京市大兴区|11|1115||        |          |2|市级
1116|怀柔区|北京市怀柔区|11|1116||        |          |2|市级
1117|平谷区|北京市平谷区|11|1117||        |          |2|市级
1128|密云县|北京市密云县|11|1128||        |          |2|市级
1129|延庆县|北京市延庆县|11|1129||        |          |2|市级
12|天津市|天津市|12|    |      |        |          |1|直辖市
1201|和平区|天津市和平区|12|1201||        |          |2|市级
1202|河东区|天津市河东区|12|1202||        |          |2|市级
1203|河西区|天津市河西区|12|1203||        |          |2|市级
1204|南开区|天津市南开区|12|1204||        |          |2|市级
1205|河北区|天津市河北区|12|1205||        |          |2|市级
1206|红桥区|天津市红桥区|12|1206||        |          |2|市级
1207|塘沽区|天津市塘沽区|12|1207||        |          |2|市级
1208|汉沽区|天津市汉沽区|12|1208||        |          |2|市级
1209|大港区|天津市大港区|12|1209||        |          |2|市级
1210|东丽区|天津市东丽区|12|1210||        |          |2|市级
1211|西青区|天津市西青区|12|1211||        |          |2|市级
1212|津南区|天津市津南区|12|1212||        |          |2|市级
1213|北辰区|天津市北辰区|12|1213||        |          |2|市级
1214|武清区|天津市武清区|12|1214||        |          |2|市级
1215|宝坻区|天津市宝坻区|12|1215||        |          |2|市级
1221|宁河县|天津市宁河县|12|1221||        |          |2|市级
1223|静海县|天津市静海县|12|1223||        |          |2|市级
1225|蓟县|天津市蓟县|12|1225||        |          |2|市级
13|河北省|河北省|13|    |      |        |          |1|省级
1301|石家庄市|河北省石家庄市|13|1301||        |          |2|市级
130102|长安区|河北省石家庄市长安区|13|1301|130102|        |          |3|
130103|桥东区|河北省石家庄市桥东区|13|1301|130103|        |          |3|
130104|桥西区|河北省石家庄市桥西区|13|1301|130104|        |          |3|
130105|新华区|河北省石家庄市新华区|13|1301|130105|        |          |3|
130107|井陉矿区|河北省石家庄市井陉矿区|13|1301|130107|        |          |3|
130108|裕华区|河北省石家庄市裕华区|13|1301|130108|        |          |3|
130121|井陉县|河北省石家庄市井陉县|13|1301|130121|        |          |3|
130123|正定县|河北省石家庄市正定县|13|1301|130123|        |          |3|
130124|栾城县|河北省石家庄市栾城县|13|1301|130124|        |          |3|
130125|行唐县|河北省石家庄市行唐县|13|1301|130125|        |          |3|
130126|灵寿县|河北省石家庄市灵寿县|13|1301|130126|        |          |3|
130127|高邑县|河北省石家庄市高邑县|13|1301|130127|        |          |3|
130128|深泽县|河北省石家庄市深泽县|13|1301|130128|        |          |3|
130129|赞皇县|河北省石家庄市赞皇县|13|1301|130129|        |          |3|
130130|无极县|河北省石家庄市无极县|13|1301|130130|        |          |3|
130131|平山县|河北省石家庄市平山县|13|1301|130131|        |          |3|
130132|元氏县|河北省石家庄市元氏县|13|1301|130132|        |          |3|
130133|赵县|河北省石家庄市赵县|13|1301|130133|        |          |3|
130181|辛集市|河北省石家庄市辛集市|13|1301|130181|        |          |3|
130182|藁城市|河北省石家庄市藁城市|13|1301|130182|        |          |3|
130183|晋州市|河北省石家庄市晋州市|13|1301|130183|        |          |3|
130184|新乐市|河北省石家庄市新乐市|13|1301|130184|        |          |3|
130185|鹿泉市|河北省石家庄市鹿泉市|13|1301|130185|        |          |3|
1302|唐山市|河北省唐山市|13|1302||        |          |2|市级
130202|路南区|河北省唐山市路南区|13|1302|130202|        |          |3|
130203|路北区|河北省唐山市路北区|13|1302|130203|        |          |3|
130204|古冶区|河北省唐山市古冶区|13|1302|130204|        |          |3|
130205|开平区|河北省唐山市开平区|13|1302|130205|        |          |3|
130207|丰南区|河北省唐山市丰南区|13|1302|130207|        |          |3|
130208|丰润区|河北省唐山市丰润区|13|1302|130208|        |          |3|
130223|滦县|河北省唐山市滦县|13|1302|130223|        |          |3|
130224|滦南县|河北省唐山市滦南县|13|1302|130224|        |          |3|
130225|乐亭县|河北省唐山市乐亭县|13|1302|130225|        |          |3|
130227|迁西县|河北省唐山市迁西县|13|1302|130227|        |          |3|
130229|玉田县|河北省唐山市玉田县|13|1302|130229|        |          |3|
130230|唐海县|河北省唐山市唐海县|13|1302|130230|        |          |3|
130281|遵化市|河北省唐山市遵化市|13|1302|130281|        |          |3|
130283|迁安市|河北省唐山市迁安市|13|1302|130283|        |          |3|
1303|秦皇岛市|河北省秦皇岛市|13|1303||        |          |2|市级
130302|海港区|河北省秦皇岛市海港区|13|1303|130302|        |          |3|省级
130303|山海关区|河北省秦皇岛市山海关区|13|1303|130303|        |          |3|县级
130304|北戴河区|河北省秦皇岛市北戴河区|13|1303|130304|        |          |3|
130321|青龙县|河北省秦皇岛市青龙县|13|1303|130321|        |          |3|
130322|昌黎县|河北省秦皇岛市昌黎县|13|1303|130322|        |          |3|
130323|抚宁县|河北省秦皇岛市抚宁县|13|1303|130323|        |          |3|
130324|卢龙县|河北省秦皇岛市卢龙县|13|1303|130324|        |          |3|
1304|邯郸市|河北省邯郸市|13|1304||        |          |2|市级
130402|邯山区|河北省邯郸市邯山区|13|1304|130402|        |          |3|
130403|丛台区|河北省邯郸市丛台区|13|1304|130403|        |          |3|
130404|复兴区|河北省邯郸市复兴区|13|1304|130404|        |          |3|
130406|峰峰矿区|河北省邯郸市峰峰矿区|13|1304|130406|        |          |3|
130421|邯郸县|河北省邯郸市邯郸县|13|1304|130421|        |          |3|
130423|临漳县|河北省邯郸市临漳县|13|1304|130423|        |          |3|
130424|成安县|河北省邯郸市成安县|13|1304|130424|        |          |3|
130425|大名县|河北省邯郸市大名县|13|1304|130425|        |          |3|
130426|涉县|河北省邯郸市涉县|13|1304|130426|        |          |3|
130427|磁县|河北省邯郸市磁县|13|1304|130427|        |          |3|
130428|肥乡县|河北省邯郸市肥乡县|13|1304|130428|        |          |3|
130429|永年县|河北省邯郸市永年县|13|1304|130429|        |          |3|
130430|邱县|河北省邯郸市邱县|13|1304|130430|        |          |3|
130431|鸡泽县|河北省邯郸市鸡泽县|13|1304|130431|        |          |3|
130432|广平县|河北省邯郸市广平县|13|1304|130432|        |          |3|
130433|馆陶县|河北省邯郸市馆陶县|13|1304|130433|        |          |3|
130434|魏县|河北省邯郸市魏县|13|1304|130434|        |          |3|
130435|曲周县|河北省邯郸市曲周县|13|1304|130435|        |          |3|
130481|武安市|河北省邯郸市武安市|13|1304|130481|        |          |3|
1305|邢台市|河北省邢台市|13|1305||        |          |2|市级
130502|桥东区|河北省邢台市桥东区|13|1305|130502|        |          |3|
130503|桥西区|河北省邢台市桥西区|13|1305|130503|        |          |3|
130521|邢台县|河北省邢台市邢台县|13|1305|130521|        |          |3|
130522|临城县|河北省邢台市临城县|13|1305|130522|        |          |3|
130523|内丘县|河北省邢台市内丘县|13|1305|130523|        |          |3|
130524|柏乡县|河北省邢台市柏乡县|13|1305|130524|        |          |3|
130525|隆尧县|河北省邢台市隆尧县|13|1305|130525|        |          |3|
130526|任县|河北省邢台市任县|13|1305|130526|        |          |3|
130527|南和县|河北省邢台市南和县|13|1305|130527|        |          |3|
130528|宁晋县|河北省邢台市宁晋县|13|1305|130528|        |          |3|
130529|巨鹿县|河北省邢台市巨鹿县|13|1305|130529|        |          |3|
130530|新河县|河北省邢台市新河县|13|1305|130530|        |          |3|
130531|广宗县|河北省邢台市广宗县|13|1305|130531|        |          |3|
130532|平乡县|河北省邢台市平乡县|13|1305|130532|        |          |3|
130533|威县|河北省邢台市威县|13|1305|130533|        |          |3|
130534|清河县|河北省邢台市清河县|13|1305|130534|        |          |3|
130535|临西县|河北省邢台市临西县|13|1305|130535|        |          |3|
130581|南宫市|河北省邢台市南宫市|13|1305|130581|        |          |3|
130582|沙河市|河北省邢台市沙河市|13|1305|130582|        |          |3|
1306|保定市|河北省保定市|13|1306||        |          |2|市级
130602|新市区|河北省保定市新市区|13|1306|130602|        |          |3|
130603|北市区|河北省保定市北市区|13|1306|130603|        |          |3|
130604|南市区|河北省保定市南市区|13|1306|130604|        |          |3|
130621|满城县|河北省保定市满城县|13|1306|130621|        |          |3|
130622|清苑县|河北省保定市清苑县|13|1306|130622|        |          |3|
130623|涞水县|河北省保定市涞水县|13|1306|130623|        |          |3|
130624|阜平县|河北省保定市阜平县|13|1306|130624|        |          |3|
130625|徐水县|河北省保定市徐水县|13|1306|130625|        |          |3|
130626|定兴县|河北省保定市定兴县|13|1306|130626|        |          |3|
130627|唐县|河北省保定市唐县|13|1306|130627|        |          |3|
130628|高阳县|河北省保定市高阳县|13|1306|130628|        |          |3|
130629|容城县|河北省保定市容城县|13|1306|130629|        |          |3|
130630|涞源县|河北省保定市涞源县|13|1306|130630|        |          |3|
130631|望都县|河北省保定市望都县|13|1306|130631|        |          |3|
130632|安新县|河北省保定市安新县|13|1306|130632|        |          |3|
130633|易县|河北省保定市易县|13|1306|130633|        |          |3|
130634|曲阳县|河北省保定市曲阳县|13|1306|130634|        |          |3|
130635|蠡县|河北省保定市蠡县|13|1306|130635|        |          |3|
130636|顺平县|河北省保定市顺平县|13|1306|130636|        |          |3|
130637|博野县|河北省保定市博野县|13|1306|130637|        |          |3|
130638|雄县|河北省保定市雄县|13|1306|130638|        |          |3|
130681|涿州市|河北省保定市涿州市|13|1306|130681|        |          |3|
130682|定州市|河北省保定市定州市|13|1306|130682|        |          |3|
130683|安国市|河北省保定市安国市|13|1306|130683|        |          |3|
130684|高碑店市|河北省保定市高碑店市|13|1306|130684|        |          |3|
1307|张家口市|河北省张家口市|13|1307||        |          |2|市级
130702|桥东区|河北省张家口市桥东区|13|1307|130702|        |          |3|
130703|桥西区|河北省张家口市桥西区|13|1307|130703|        |          |3|
130705|宣化区|河北省张家口市宣化区|13|1307|130705|        |          |3|
130706|下花园区|河北省张家口市下花园区|13|1307|130706|        |          |3|
130721|宣化县|河北省张家口市宣化县|13|1307|130721|        |          |3|
130722|张北县|河北省张家口市张北县|13|1307|130722|        |          |3|
130723|康保县|河北省张家口市康保县|13|1307|130723|        |          |3|
130724|沽源县|河北省张家口市沽源县|13|1307|130724|        |          |3|
130725|尚义县|河北省张家口市尚义县|13|1307|130725|        |          |3|
130726|蔚县|河北省张家口市蔚县|13|1307|130726|        |          |3|
130727|阳原县|河北省张家口市阳原县|13|1307|130727|        |          |3|
130728|怀安县|河北省张家口市怀安县|13|1307|130728|        |          |3|
130729|万全县|河北省张家口市万全县|13|1307|130729|        |          |3|
130730|怀来县|河北省张家口市怀来县|13|1307|130730|        |          |3|
130731|涿鹿县|河北省张家口市涿鹿县|13|1307|130731|        |          |3|
130732|赤城县|河北省张家口市赤城县|13|1307|130732|        |          |3|
130733|崇礼县|河北省张家口市崇礼县|13|1307|130733|        |          |3|
1308|承德市|河北省承德市|13|1308||        |          |2|市级
130802|双桥区|河北省承德市双桥区|13|1308|130802|        |          |3|
130803|双滦区|河北省承德市双滦区|13|1308|130803|        |          |3|
130804|鹰手营子矿区|河北省承德市鹰手营子矿区|13|1308|130804|        |          |3|
130821|承德县|河北省承德市承德县|13|1308|130821|        |          |3|
130822|兴隆县|河北省承德市兴隆县|13|1308|130822|        |          |3|
130823|平泉县|河北省承德市平泉县|13|1308|130823|        |          |3|
130824|滦平县|河北省承德市滦平县|13|1308|130824|        |          |3|
130825|隆化县|河北省承德市隆化县|13|1308|130825|        |          |3|
130826|丰宁县|河北省承德市丰宁县|13|1308|130826|        |          |3|
130827|宽城县|河北省承德市宽城县|13|1308|130827|        |          |3|
130828|围场县|河北省承德市围场县|13|1308|130828|        |          |3|
1309|沧州市|河北省沧州市|13|1309||        |          |2|市级
130902|新华区|河北省沧州市新华区|13|1309|130902|        |          |3|
130903|运河区|河北省沧州市运河区|13|1309|130903|        |          |3|
130921|沧县|河北省沧州市沧县|13|1309|130921|        |          |3|
130922|青县|河北省沧州市青县|13|1309|130922|        |          |3|
